"Total de Examen mi-semestre (EE) (Brut)","projet (CCTP) (Brut)","Note enseignant (Brut)","Outil externe Contrôle 1 PLaTon, jeudi 21 et vendredi 22 octobre (Brut)","Outil externe Contrôle 2 PLaTon, jeudi 9 - vendredi 10 décembre (Brut)","Total de Contrôles PLaTon (Brut)","Total de Note de TD (CCE) (Brut)","Total de Examen final (EEF) (Brut)","Total du cours (Brut)"
19.6,17,20,17.69,19.69,18.69,19.56,19.6,19.07
19.4,20,20,20,18.75,19.38,19.79,18.2,19.1
19.2,19,16,20,20,20,17.33,19.8,19.12
20,20,18,20,19.69,19.84,18.61,18.4,19.15
19.4,20,18,19.23,20,19.62,18.54,18.8,19.15
18.6,20,20,20,19.69,19.84,19.95,18.8,19.16
18.8,20,20,19.62,18.13,18.87,19.62,18.8,19.16
19.4,19,18,20,20,20,18.67,19.4,19.21
19.2,20,16,19.62,20,19.81,17.27,19.6,19.23
18.6,20,20,20,19.69,19.84,19.95,19,19.24
19.6,20,18,19.23,,19.23,18.41,19,19.26
18.8,18,20,19.62,19.69,19.65,19.88,20,19.28
18.6,20,20,19.62,20,19.81,19.94,19.2,19.32
19,20,20,20,20,20,20,19,19.35
18.4,20,20,20,20,20,20,19.4,19.36
19.8,20,16,19.62,19.69,19.65,17.22,19.6,19.37
19.4,19,20,20,18.75,19.38,19.79,19.4,19.38
19.2,20,20,20,19.69,19.84,19.95,19,19.39
19.8,20,20,20,19.38,19.69,19.9,18.8,19.45
19.6,20,19,20,20,20,19.33,19.2,19.48
18.8,20,20,19.23,20,19.62,19.87,19.6,19.52
19.2,20,20,20,18.44,19.22,19.74,19.4,19.52
19.4,20,20,19.23,20,19.62,19.87,19.6,19.67
18.8,20,20,20,20,20,20,20,19.7
20,20,20,20,20,20,20,20,20
